Gene_symbol,Count,Proportion(%)
RPF1,136,0.0148
TTC27,136,0.0148
CTSC,136,0.0148
CCDC157,135,0.0147
CSKMT,135,0.0147
AK3,135,0.0147
WDR6,135,0.0147
SPMIP9,135,0.0147
MCUB,135,0.0147
TRPA1,135,0.0147
RPUSD4,135,0.0147
SULT1A1,135,0.0147
PRSS21,135,0.0147
PLCG2,135,0.0147
EGLN2,135,0.0147
GFUS,135,0.0147
GCNT1,135,0.0147
KCNT2,135,0.0147
VPS28,135,0.0147
CORO1B,135,0.0147
PRKAR1B,135,0.0147
SEC23A,135,0.0147
NDUFA11,135,0.0147
MYL4,135,0.0147
WNT6,134,0.0146
HAUS2,134,0.0146
AMDHD1,134,0.0146
STAMBPL1,134,0.0146
LRP4,134,0.0146
TASP1,134,0.0146
GNB1L,134,0.0146
LRP2BP,134,0.0146
NXNL1,134,0.0146
IYD,134,0.0146
CFAP107,134,0.0146
RAD51,134,0.0146
PTRH1,134,0.0146
CYP27A1,134,0.0146
ASMT,134,0.0146
MALSU1,134,0.0146
DHRS9,134,0.0146
IL1RN,134,0.0146
AKR1C1,134,0.0146
POTEF,134,0.0146
SCIN,134,0.0146
HPR,133,0.0145
NDUFB4,133,0.0145
SGCB,133,0.0145
ALPI,133,0.0145
SPHK1,133,0.0145
TRMT1,133,0.0145
EIF3H,133,0.0145
MTHFSD,133,0.0145
PCK2,133,0.0145
ASB4,133,0.0145
AIRIM,133,0.0145
CLYBL,133,0.0145
MIF,133,0.0145
PRAMEF11,133,0.0145
PDSS2,133,0.0145
CIMIP1,133,0.0145
GLO1,133,0.0145
TMED3,133,0.0145
PUSL1,133,0.0145
NUBP1,133,0.0145
CRYGS,133,0.0145
CPQ,133,0.0145
